,companyName,Ranking Actual,craftWebsite,imgUrl
108,Travelers,106,https://craft.co/travelers-insurance,https://uploads3.craft.co/uploads/company/logo/676xx/67655/normal_G-DBaK17_400x400.png
109,Philip Morris International,107,https://craft.co/philip-morris-international,https://uploads3.craft.co/uploads/company/logo/1209xx/120983/normal_d29de1538400f47c.jpg
110,Raytheon,108,https://craft.co/raytheon,https://uploads2.craft.co/uploads/company/logo/212xx/21200/normal_ea1c623197c4dd92.jpg
111,Hewlett Packard Enterprise,109,https://craft.co/hewlett-packard-enterprise,https://uploads2.craft.co/uploads/company/logo/2493xx/249331/normal_f8b9fcd5d8741866.png
112,Arrow Electronics,110,https://craft.co/arrow-electronics,https://uploads3.craft.co/uploads/company/logo/586xx/58647/normal_acfc9f566c4c1316.jpeg
113,ViacomCBS,111,https://craft.co/viacomcbs,https://uploads1.craft.co/uploads/company/logo/14936xx/1493628/normal_baca25e7f54a83dd.png
114,Dollar General,112,https://craft.co/dollar-general,https://uploads5.craft.co/uploads/company/logo/890xx/89032/normal_64c9fbd57a3ce0ab.png
115,US Foods Holding,116,https://craft.co/us-foods,https://uploads3.craft.co/uploads/company/logo/2493xx/249374/normal_2f08bdca10769a4b.jpg
116,Starbucks,114,https://craft.co/starbucks,https://uploads5.craft.co/uploads/company/logo/20xx/2039/normal_ea4b7f0c3179c805.png
117,Bristol-Myers Squibb,115,https://craft.co/myers-building-products,
118,US Foods Holding,116,https://craft.co/us-foods,https://uploads3.craft.co/uploads/company/logo/2493xx/249374/normal_2f08bdca10769a4b.jpg
119,Mondelez International,117,https://craft.co/mondelez-international,
120,Paccar,118,https://craft.co/paccar,https://uploads3.craft.co/uploads/company/logo/1402xx/140217/normal_brand.gif
121,Thermo Fisher Scientific,119,https://craft.co/thermo-fisher-scientific,https://uploads2.craft.co/uploads/company/logo/374xx/37424/normal_AAEAAQAAAAAAAAaZAAAAJGY3OWE4M2Y4LWU0ZDAtNDVkOC1hZDVlLWE5M2FhNDQ4OTRkMg.png
122,Macy's,120,https://craft.co/macy-s,https://uploads3.craft.co/uploads/company/logo/19xx/1968/normal_59f2bd2735821a56.jpg
123,Jabil,121,https://craft.co/jabil,https://uploads5.craft.co/uploads/company/logo/770xx/77025/normal_5e6a061b30bfdbf8.jpeg
124,Kraft Heinz,122,https://craft.co/kraftheinz,https://uploads2.craft.co/uploads/company/logo/20xx/2033/normal_159e61c7d190dfdc.jpg
125,Duke Energy,123,https://craft.co/duke-energy,https://uploads2.craft.co/uploads/company/logo/591xx/59122/normal_5e7b8b90b33ebc0e.jpg
126,Tesla,124,https://craft.co/tesla,https://uploads3.craft.co/uploads/company/logo/18xx/1842/normal_4RxZxsud.png
127,PBF Energy,125,https://craft.co/pbf-energy,https://uploads5.craft.co/uploads/company/logo/1277xx/127791/normal_2a96a5977202025f.png
128,Qualcomm,126,https://craft.co/qualcomm,https://uploads2.craft.co/uploads/company/logo/159xx/15994/normal_edc2d8701a55689a.png
