,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
63,Group 1 Automotive,264,https://craft.co/group-1-automotive,https://uploads2.craft.co/uploads/company/logo/446xx/44612/normal_8244a6d273595f5c.png,"[((255, 255, 255), 2981), ((29, 25, 26), 312), ((142, 139, 139), 220), ((222, 48, 49), 60), ((240, 148, 148), 20), ((98, 19, 20), 7)]",6
64,Bed Bath & Beyond,265,https://craft.co/bed-bath-beyond,https://uploads3.craft.co/uploads/company/logo/1941xx/194176/normal_04715dc542bad6d0.jpg,"[((26, 78, 138), 12815), ((251, 255, 255), 1370), ((115, 124, 141), 170), ((0, 0, 0), 45)]",4
65,Unum Group,266,https://craft.co/unum,https://uploads5.craft.co/uploads/company/logo/119xx/11911/normal_99ea2e3996342fa9.jpeg,"[((255, 255, 255), 12917), ((8, 69, 124), 1254), ((92, 137, 166), 228), ((0, 8, 32), 1)]",4
66,CSX,267,https://craft.co/csx,https://uploads1.craft.co/uploads/company/logo/1354xx/135447/normal_e992524bbfb0d11c.jpg,"[((10, 16, 100), 12199), ((254, 254, 255), 1765), ((54, 54, 90), 353), ((128, 129, 149), 82), ((0, 0, 5), 1)]",5
67,AutoZone,268,https://craft.co/autozone,https://uploads4.craft.co/uploads/company/logo/1049xx/104917/normal_baa74c8ea9afb428.png,"[((255, 255, 255), 2808), ((211, 32, 17), 414), ((226, 158, 153), 194), ((82, 92, 91), 112), ((238, 120, 0), 64), ((246, 181, 113), 8)]",6
68,Pacific Life,269,https://craft.co/pacific-life,https://uploads4.craft.co/uploads/company/logo/2563xx/256311/normal_68a688fc2514d60a.jpg,"[((255, 255, 255), 3125), ((133, 205, 229), 254), ((31, 56, 78), 201), ((2, 111, 180), 18), ((93, 144, 127), 2)]",5
69,Vistra Energy,270,https://craft.co/vistra-energy,https://uploads1.craft.co/uploads/company/logo/14057xx/1405753/normal_8e3c43408d73799e.jpeg,"[((255, 255, 255), 13906), ((37, 57, 68), 329), ((79, 137, 63), 93), ((161, 187, 148), 59), ((126, 133, 141), 12), ((38, 64, 25), 1)]",6
70,Charles Schwab,271,https://craft.co/charles-schwab,https://uploads2.craft.co/uploads/company/logo/19xx/1991/normal_6a2d1de0f3d9a70f.jpg,"[((0, 158, 223), 13221), ((255, 255, 255), 1178), ((131, 215, 215), 1)]",3
71,Crown Holdings,272,https://craft.co/crown-holdings,https://uploads1.craft.co/uploads/company/logo/1174xx/117437/normal_5cd8d3b4fc963dca.png,"[((255, 255, 255), 13439), ((54, 141, 100), 633), ((139, 112, 54), 327), ((58, 15, 0), 1)]",4
72,Ally Financial,273,https://craft.co/ally-financial,https://uploads5.craft.co/uploads/company/logo/680xx/68085/normal_3e7ebeef20275e04.jpg,"[((255, 255, 255), 14400)]",1
73,Laboratory Corp. of America,274,https://craft.co/laboratory-corporation-of-america-holdings,https://uploads4.craft.co/uploads/company/logo/115xx/11525/normal_e3de5cc32860110e.png,"[((255, 255, 255), 12795), ((0, 129, 164), 1598), ((0, 62, 114), 6)]",3
74,Live Nation Entertainment,275,https://craft.co/live-nation-entertainment,https://uploads4.craft.co/uploads/company/logo/459xx/45940/normal_a7dd1296efb40a70.png,"[((231, 36, 64), 2534), ((255, 255, 255), 823), ((241, 128, 144), 105), ((0, 0, 0), 99), ((87, 87, 87), 39)]",5
75,Xcel Energy,276,https://craft.co/xcel-energy,https://uploads4.craft.co/uploads/company/logo/119xx/11907/normal_871f84995ff0b47f.jpg,"[((255, 255, 255), 10227), ((255, 0, 21), 3462), ((189, 44, 51), 519), ((255, 182, 188), 188), ((163, 78, 99), 4)]",5
76,Corning,277,https://craft.co/corning,https://uploads5.craft.co/uploads/company/logo/18xx/1813/normal_f40205f45c10ac4b.jpg,"[((0, 0, 0), 13839), ((255, 255, 255), 375), ((85, 85, 85), 186)]",3
77,W.W. Grainger,278,https://craft.co/ww.-grainger,,0,0
78,Ball,279,https://craft.co/ball,https://uploads2.craft.co/uploads/company/logo/1169xx/116982/normal_1a5cc89b10814dbf.jpg,"[((43, 145, 170), 11976), ((255, 255, 255), 2420), ((134, 237, 210), 4)]",3
79,Fox,280,https://craft.co/fox-corporation,https://uploads5.craft.co/uploads/company/logo/20xx/2092/normal_9bef075b92e3ae69.jpeg,"[((229, 229, 229), 11970), ((1, 74, 153), 2370), ((121, 146, 187), 59), ((0, 32, 151), 1)]",4
80,Universal Health Services,281,https://craft.co/universal-health-services,https://uploads3.craft.co/uploads/company/logo/666xx/66622/normal_7ba736a410f68c9a.jpg,"[((255, 255, 255), 11792), ((131, 81, 90), 1655), ((124, 1, 32), 933), ((217, 167, 178), 13), ((50, 0, 11), 7)]",5
81,Baxter International,282,https://craft.co/baxter-international,https://uploads1.craft.co/uploads/company/logo/20xx/2049/normal_neLaa43i.jpeg,"[((255, 255, 255), 6059), ((4, 35, 99), 220), ((146, 167, 214), 69), ((9, 33, 155), 25), ((25, 58, 75), 24), ((97, 122, 215), 2), ((15, 45, 229), 1)]",7
82,Norfolk Southern,283,https://craft.co/norfolk-southern,https://uploads5.craft.co/uploads/company/logo/1500xx/150056/normal_4c6b43a5b1f97546.png,"[((255, 255, 255), 3255), ((0, 0, 0), 177), ((114, 114, 114), 168)]",3
83,Navistar International,284,https://craft.co/navistar,https://uploads4.craft.co/uploads/company/logo/114xx/11445/normal_9632a47a3ac0d288.jpg,"[((7, 80, 121), 13759), ((255, 255, 255), 579), ((130, 147, 165), 52), ((0, 0, 24), 10)]",4
84,Adobe,285,https://craft.co/adobe,https://uploads4.craft.co/uploads/company/logo/2xx/281/normal_fbe9ab25ab6e86cd.png,"[((226, 35, 26), 11230), ((255, 255, 255), 2864), ((241, 144, 139), 306)]",3
85,J.C. Penney,286,https://craft.co/j-c-penny,,0,0
86,Discovery,287,https://craft.co/discovery-communications,https://uploads3.craft.co/uploads/company/logo/20xx/2078/normal_75395b3d4edaecd4.png,"[((28, 44, 77), 13811), ((245, 240, 230), 464), ((136, 141, 151), 120), ((60, 86, 21), 3), ((145, 200, 252), 2)]",5
87,Keurig Dr Pepper,288,https://craft.co/keurig-dr-pepper,https://uploads5.craft.co/uploads/company/logo/12257xx/1225784/normal_4352f6b8a83acb64.jpg,"[((255, 255, 255), 11107), ((64, 50, 49), 1817), ((198, 0, 75), 885), ((102, 191, 37), 406), ((145, 78, 59), 60), ((157, 151, 151), 56), ((141, 186, 103), 53), ((111, 186, 228), 11), ((245, 159, 188), 5)]",9
88,Leidos Holdings,289,https://craft.co/leidos,https://uploads2.craft.co/uploads/company/logo/1988xx/198860/normal_1b7bf1977e4af9d4.jpg,"[((255, 255, 255), 13791), ((58, 55, 82), 514), ((127, 17, 130), 60), ((138, 136, 150), 32), ((178, 218, 168), 3)]",5
89,IQVIA Holdings,290,https://craft.co/iqvia,https://uploads3.craft.co/uploads/company/logo/13508xx/1350861/normal_757558f571afef0b.png,"[((255, 255, 255), 13911), ((139, 177, 201), 337), ((47, 74, 127), 140), ((0, 0, 68), 11)]",4
90,Reliance Steel & Aluminum,291,https://craft.co/reliance-steel-aluminum,https://uploads4.craft.co/uploads/company/logo/111xx/11155/normal_5cf7b89dd876b1e6.png,"[((255, 255, 255), 5822), ((126, 123, 125), 834), ((45, 103, 73), 156), ((0, 13, 0), 2), ((0, 9, 51), 1)]",5
91,Nvidia,292,https://craft.co/nvidia,https://uploads5.craft.co/uploads/company/logo/180xx/18091/normal_3c463525d69fe345.jpg,"[((117, 182, 0), 12119), ((255, 255, 255), 2067), ((72, 129, 35), 124), ((167, 201, 127), 90)]",4
92,Entergy,293,https://craft.co/entergy-corporation,https://uploads3.craft.co/uploads/company/logo/105xx/10536/normal_72b47ea7074da023.jpg,"[((255, 253, 255), 11545), ((254, 21, 64), 1844), ((255, 172, 195), 292), ((0, 0, 0), 286), ((78, 78, 78), 233), ((206, 61, 94), 190), ((159, 159, 159), 8), ((113, 39, 54), 2)]",8
