,companyName,Ranking Actual,craftWebsite,imgUrl
104,Republic Services,305,https://craft.co/republic-services,https://uploads3.craft.co/uploads/company/logo/2116xx/211686/normal_52a5037554d54cec.png
105,Liberty Media,306,https://craft.co/liberty-media,https://uploads1.craft.co/uploads/company/logo/20xx/2083/normal_LibertyLogo.jpg
106,Peter Kiewit Sons',307,https://craft.co/kiewit,https://uploads5.craft.co/uploads/company/logo/1456xx/145636/normal_fd1c4d38005fe201.jpg
107,Interpublic Group,308,https://craft.co/interpublic-group,https://uploads1.craft.co/uploads/company/logo/110xx/11098/normal_de6bc99084a20b2f.jpg
108,PulteGroup,309,https://craft.co/pultegroup,https://uploads3.craft.co/uploads/company/logo/113xx/11363/normal_0a34edbb2cb98770.jpg
109,AES,310,https://craft.co/the-aes-corporation,https://uploads2.craft.co/uploads/company/logo/113xx/11399/normal_afb688f217611403.jpg
110,Fiserv,311,https://craft.co/fiserv,https://uploads4.craft.co/uploads/company/logo/362xx/36223/normal_be02c32f18ad76bf.png
111,BorgWarner,312,https://craft.co/borgwarner,https://uploads5.craft.co/uploads/company/logo/106xx/10691/normal_ea5ae0266144427c.png
112,Oneok,313,https://craft.co/oneok,https://uploads1.craft.co/uploads/company/logo/112xx/11248/normal_b2d68c63d385bdd5.jpg
113,O'Reilly Automotive,314,https://craft.co/o'reilly-automotive,
114,Assurant,315,https://craft.co/assurant,https://uploads1.craft.co/uploads/company/logo/688xx/68889/normal_e5ccdfd809027db6.png
115,Newell Brands,316,https://craft.co/newell-brands,https://uploads2.craft.co/uploads/company/logo/18xx/1836/normal_50dd275626398606.jpg
116,Public Service Enterprise Group,317,https://craft.co/public-service-enterprise-group,https://uploads5.craft.co/uploads/company/logo/1213xx/121302/normal_659549d88bba9bba.jpg
117,News Corp.,318,https://craft.co/news-corp,https://uploads5.craft.co/uploads/company/logo/20xx/2099/normal_63e79591caff381b.png
118,Calpine,319,https://craft.co/calpine-corporation,https://uploads4.craft.co/uploads/company/logo/109xx/10910/normal_f0d4af76bf1ed68b.png
119,Auto-Owners Insurance,320,https://craft.co/auto-owners-insurance,https://uploads1.craft.co/uploads/company/logo/2564xx/256436/normal_96a966a2c4651183.jpg
120,Mohawk Industries,321,https://craft.co/mohawk-industries,https://uploads1.craft.co/uploads/company/logo/114xx/11437/normal_cdb7fbc4dfd1eff6.jpg
121,PVH,322,https://craft.co/pvh,https://uploads5.craft.co/uploads/company/logo/113xx/11364/normal_e84d8144b93b9c1e.jpg
122,Campbell Soup,323,https://craft.co/campbell-soup-company,https://uploads5.craft.co/uploads/company/logo/1213xx/121359/normal_e3c971a8c4b39a50.png
123,NRG Energy,324,https://craft.co/nrg-energy,https://uploads4.craft.co/uploads/company/logo/308xx/30872/normal_64ae4255168a59c4.png
124,Fifth Third Bancorp,325,https://craft.co/fifth-third-bancorp,https://uploads1.craft.co/uploads/company/logo/1850xx/185065/normal_ae043b7a37f35eb5.jpg
125,Hertz Global Holdings,326,https://craft.co/hertz-globall,
126,Altice USA,327,https://craft.co/altice-usa,https://uploads2.craft.co/uploads/company/logo/2578xx/257819/normal_5b4d8f2eb4ff49a3.jpg
127,Newmont,328,https://craft.co/newmont-mining-corporation,https://uploads5.craft.co/uploads/company/logo/114xx/11449/normal_8f3f57543d4ccd9e.jpeg
128,Cheniere Energy,329,https://craft.co/cheniere-energy,https://uploads2.craft.co/uploads/company/logo/2492xx/249299/normal_6279f341dba80e83.jpg
129,Advance Auto Parts,330,https://craft.co/advance-auto-parts,https://uploads3.craft.co/uploads/company/logo/767xx/76743/normal_ad3d596a23dbdf29.png
130,Lam Research,331,https://craft.co/lam-research,https://uploads5.craft.co/uploads/company/logo/840xx/84099/normal_0a32bb658033b7b7.png
131,Owens & Minor,332,https://craft.co/owens-minor,https://uploads2.craft.co/uploads/company/logo/629xx/62913/normal_2f9e627e2ce0e943.jpeg
132,Equitable Holdings,333,https://craft.co/equitable-holdings,https://uploads3.craft.co/uploads/company/logo/1137xx/113703/normal_4edbae40eec07436.png
133,Conagra Brands,334,https://craft.co/conagra,https://uploads3.craft.co/uploads/company/logo/20xx/2025/normal_4dc08428808cc40e.jpg
134,Markel,335,https://craft.co/markel-corporation,https://uploads2.craft.co/uploads/company/logo/2075xx/207585/normal_4a7ab9f6c1592468.png
