,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
50,PepsiCo,51,https://craft.co/pepsico,https://uploads1.craft.co/uploads/company/logo/20xx/2037/normal_0uLMDvDn_400x400.jpg,"[((255, 255, 255), 5152), ((79, 99, 132), 460), ((16, 156, 109), 265), ((217, 55, 76), 175), ((193, 156, 127), 150), ((237, 132, 84), 89), ((128, 181, 197), 67), ((157, 246, 216), 8), ((80, 50, 48), 8), ((252, 18, 29), 7), ((58, 156, 229), 6), ((0, 66, 59), 5), ((18, 61, 174), 3), ((0, 169, 56), 2), ((255, 141, 184), 2), ((251, 255, 185), 1)]",16
51,Humana,52,https://craft.co/humana,https://uploads2.craft.co/uploads/company/logo/20xx/2061/normal_b92053afbbc6087c.png,"[((120, 190, 32), 13502), ((255, 255, 255), 800), ((183, 220, 136), 97)]",3
52,Prudential Financial,53,https://craft.co/prudential-financial,https://uploads3.craft.co/uploads/company/logo/1568xx/156863/normal_0805945ee814a0d5.jpg,"[((0, 33, 68), 8469), ((255, 255, 255), 5587), ((127, 131, 143), 344)]",3
53,Archer Daniels Midland,54,https://craft.co/archer-daniels-midland,https://uploads1.craft.co/uploads/company/logo/1222xx/122248/normal_257c129b9b6464d8.png,"[((39, 36, 93), 11299), ((255, 255, 255), 1584), ((151, 202, 74), 1139), ((61, 90, 86), 196), ((53, 159, 84), 125), ((146, 147, 174), 52), ((0, 222, 77), 4)]",7
54,Albertsons,55,https://craft.co/albertsons,https://uploads2.craft.co/uploads/company/logo/2543xx/254386/normal_a8e0a2701ae54c42.jpg,"[((255, 255, 255), 11644), ((0, 162, 226), 1481), ((0, 83, 159), 1269), ((0, 1, 94), 5), ((131, 229, 232), 1)]",5
55,Sysco,56,https://craft.co/sysco-corporation,https://uploads5.craft.co/uploads/company/logo/1220xx/122079/normal_e4a620f4dc6c87ff.jpg,"[((255, 255, 255), 13673), ((8, 109, 187), 582), ((140, 178, 214), 95), ((160, 204, 127), 31), ((0, 89, 215), 16), ((82, 163, 34), 3)]",6
56,Lockheed Martin,57,https://craft.co/lockheed-martin,,0,0
57,HP,58,https://craft.co/hp,https://uploads4.craft.co/uploads/company/logo/18xx/1801/normal_c26a5c8423bc9ede.png,"[((0, 150, 214), 7718), ((255, 255, 255), 6681)]",2
58,Energy Transfer,59,https://craft.co/energy-transfer,https://uploads2.craft.co/uploads/company/logo/1967xx/196782/normal_293a99c039395124.jpg,"[((255, 255, 255), 12603), ((7, 54, 126), 1568), ((65, 83, 107), 137), ((0, 3, 29), 72), ((162, 168, 182), 20)]",5
59,Goldman Sachs Group,60,https://craft.co/goldman-sachs,https://uploads3.craft.co/uploads/company/logo/6xx/668/normal_e6223b02f77df06f.png,"[((110, 147, 190), 12787), ((255, 255, 255), 1612)]",2
